Category_item,Weight_kg,Volumetric_Weight_kg,Fragility,Moisture_Sens,Shipping_Mode,Distance_km,Packaging_Used,Cost_USD,CO2_Emission_kg_item,Material_ID,Material_Name,Category_material,Density_kg_m3,Tensile_Strength_MPa,Cost_per_kg,CO2_Emission_kg_material,Biodegradable,co2_impact_index,cost_efficiency_index,environmental_impact_score,material_suitability_score,sustainability_score,sustainability_rating,Item_Volume_m3
Electronics,18.55,8.47,10,True,Road,1956,Mushroom Pkg (Mycelium),9.42,18.142,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,51.53,87.03,17.54,3.37,5.954161576159545,A,0.042375
Electronics,1.64,0.22,9,True,Road,506,Mushroom Pkg (Mycelium),2.46,0.415,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,92.18,26.04,2.83,3.72,11.041692211416178,A,0.001116
Furniture,17.2,6.2,9,False,Road,1268,Mushroom Pkg (Mycelium),8.68,10.905,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,57.92,78.76,15.23,3.08,6.2056463423738455,A,0.030975
Electronics,18.33,7.66,10,True,Road,620,Mushroom Pkg (Mycelium),9.33,5.682,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,64.35,86.83,12.9,3.37,8.077208676185373,A,0.038304
Home Decor,2.38,1.16,9,False,Road,681,Mushroom Pkg (Mycelium),2.75,0.81,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,87.94,34.01,4.36,3.08,9.360548311800844,A,0.005824
Furniture,19.13,4.32,10,False,Road,2011,Mushroom Pkg (Mycelium),9.65,19.235,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,50.72,87.62,17.83,2.79,5.897027151036055,A,0.0216
Clothing,1.52,3.62,2,True,Air,1297,Kraft Paper Mailer,1.85,11.738,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,37.69,7.6,33.43,52.56,0.2728088461618652,E,0.018081
Clothing,1.36,3.94,2,True,Air,1866,Kraft Paper Mailer,1.98,18.38,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,28.84,7.74,38.18,52.56,0.2432687207106149,E,0.01968
Furniture,65.83,239.31,8,False,Road,1073,Wood Crate,97.32,128.39,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,21.75,46.96,38.36,8.92,1.4690302015372732,B,1.196544
Electronics,0.16,0.0,5,True,Road,163,Honeycomb Paper,1.06,0.013,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,98.68,1.37,0.62,18.57,2.651608626437699,B,0.0
Furniture,13.82,31.25,5,False,Road,2894,Wood Crate,13.5,45.219,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,38.85,27.35,29.98,13.44,1.0947297833645837,C,0.15624
Furniture,44.02,258.55,6,False,Road,796,Wood Crate,104.62,102.903,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,25.55,35.23,36.5,11.5,1.1582465436096838,C,1.29276
Furniture,57.3,300.9,6,False,Road,1389,Wood Crate,121.56,208.975,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,15.08,35.29,41.63,11.5,1.0172471530807792,C,1.504476
Electronics,0.26,0.02,9,True,Road,128,Mushroom Pkg (Mycelium),1.9,0.017,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,99.67,4.8,0.12,3.72,47.999600003333306,A,9e-05
Furniture,13.24,27.23,4,False,Road,710,Wood Crate,11.69,9.667,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,58.45,21.88,20.37,16.15,1.2889542813473596,C,0.136125
Furniture,66.31,279.41,6,False,Road,2745,Wood Crate,112.96,383.49,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,5.96,35.26,46.1,11.5,0.9178307826934754,C,1.397046
Electronics,17.19,7.3,10,True,Road,653,Mushroom Pkg (Mycelium),8.88,5.613,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,64.79,85.54,12.74,3.37,8.057142224714111,A,0.03648
Electronics,19.6,5.64,10,True,Road,984,Recycled PET Box,9.84,9.643,320.0,Recycled PVC Film,Plastic,1279,39.86,1.59,1.476,No,42.61,43.4,60.45,11.49,0.5743589648575854,D,0.028224
Electronics,16.77,8.21,9,True,Road,2872,Mushroom Pkg (Mycelium),8.51,24.082,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,48.01,78.32,18.81,3.72,4.996490962440671,B,0.04104
Clothing,1.9,3.42,3,True,Road,484,Kraft Paper Mailer,1.97,0.828,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,79.68,10.34,10.9,39.39,1.138348519417567,C,0.0171
Home Decor,1.79,1.44,10,False,Road,284,Mushroom Pkg (Mycelium),2.72,0.254,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,93.47,28.63,2.36,2.79,14.557620950160617,A,0.0072
Electronics,0.27,0.02,8,True,Air,1771,Mushroom Pkg (Mycelium),1.71,1.195,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,81.52,4.94,6.69,4.15,0.8860985222573209,C,9.8e-05
Electronics,2.19,0.24,7,True,Air,935,PLA Bioplastic,2.28,5.119,575.0,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,45.48,32.07,31.03,24.91,1.2402191027966771,C,0.001216
Clothing,1.25,4.13,2,True,Road,157,Kraft Paper Mailer,2.05,0.324,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,85.53,7.84,7.76,52.56,1.2123709777872451,C,0.02067
Clothing,0.28,0.19,1,False,Road,119,Recycled PET Box,0.31,0.017,320.0,Recycled PVC Film,Plastic,1279,39.86,1.59,1.476,No,95.0,1.32,5.27,53.11,0.2003794686186967,E,0.000936
Electronics,0.24,0.0,9,True,Air,1772,Mushroom Pkg (Mycelium),1.9,1.063,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,83.02,4.38,6.14,3.72,0.8560259192140196,C,0.0
Home Decor,1.74,1.25,10,False,Air,2524,Mushroom Pkg (Mycelium),2.7,10.979,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,41.27,28.02,21.25,2.79,1.5823058078914911,B,0.006272
Home Decor,2.79,1.09,10,False,Air,2544,Mushroom Pkg (Mycelium),3.12,17.744,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,30.65,39.15,25.09,2.79,1.8724590724408496,B,0.00546
Home Decor,1.51,1.35,9,False,Road,583,Mushroom Pkg (Mycelium),2.4,0.44,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,92.17,24.54,2.83,3.08,10.40565003333921,A,0.00675
Home Decor,2.87,1.35,9,False,Air,2886,Mushroom Pkg (Mycelium),2.95,20.707,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,27.25,38.32,26.32,3.08,1.7471123956264285,B,0.00675
Clothing,0.87,1.61,5,False,Air,1835,Kraft Paper Mailer,1.64,7.386,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,47.92,9.7,27.94,26.22,0.4166070001214387,D,0.008064
Home Decor,1.63,1.34,10,False,Air,1422,Mushroom Pkg (Mycelium),2.65,5.795,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,54.3,26.72,16.54,2.79,1.938573038780348,B,0.00672
Clothing,1.29,3.47,4,True,Road,412,Bubble Wrap (LDPE),2.19,0.715,34.0,Standard Bubble Wrap (LDPE),Plastic,890,9.68,2.13,2.807,No,74.23,18.11,25.77,6.08,0.5622040914938264,D,0.017343
Clothing,1.05,1.19,5,False,Air,1629,Kraft Paper Mailer,1.48,4.846,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,54.85,7.82,24.22,26.22,0.3874483737634858,D,0.00594
Clothing,1.36,4.21,4,True,Air,1004,Kraft Paper Mailer,2.48,10.567,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,40.01,13.68,32.18,31.48,0.5101304999959447,D,0.02107
Furniture,13.93,28.43,4,False,Road,131,Wood Crate,12.17,1.862,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,70.17,21.95,14.62,16.15,1.8016414636360147,B,0.142128
Clothing,1.15,1.46,3,False,Air,1017,Kraft Paper Mailer,1.18,3.712,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,58.67,7.17,22.17,39.39,0.3880919987328823,D,0.007308
Electronics,17.12,8.32,10,True,Road,2035,Mushroom Pkg (Mycelium),8.85,17.42,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,52.24,85.48,17.28,3.37,5.936110767586182,A,0.0416
Beauty,0.47,0.04,8,True,Road,454,Mushroom Pkg (Mycelium),1.79,0.107,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,97.88,8.67,0.77,4.15,13.511670764063942,A,0.00018
Furniture,42.93,243.1,6,False,Road,1264,Wood Crate,98.44,153.639,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,19.88,35.2,39.28,11.5,1.075356388101925,C,1.215486
Clothing,0.23,0.08,2,False,Air,1526,Kraft Paper Mailer,0.49,0.877,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,82.94,1.3,9.15,52.56,0.1704917846457065,E,0.000396
Clothing,0.87,1.01,3,False,Road,604,Kraft Paper Mailer,1.0,0.305,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,88.23,5.73,6.31,39.39,1.0896987179558293,C,0.00504
Clothing,1.47,3.76,2,True,Air,1727,Kraft Paper Mailer,1.9,16.234,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,31.28,7.69,36.87,52.56,0.2502847775892385,E,0.018819
Furniture,77.46,253.97,5,False,Road,1545,Wood Crate,102.59,196.192,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,15.57,29.3,41.39,13.44,0.8494805303338844,D,1.26984
Beauty,0.43,0.03,9,True,Air,1759,Mushroom Pkg (Mycelium),1.97,1.891,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,74.9,8.07,9.08,3.72,1.0665197063304288,C,0.000144
Beauty,0.24,0.04,10,True,Road,505,Mushroom Pkg (Mycelium),2.1,0.061,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,99.09,4.41,0.33,3.37,16.03631504146957,A,0.0002
Furniture,17.29,6.17,9,False,Road,284,Mushroom Pkg (Mycelium),8.72,2.455,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,70.95,78.8,10.51,3.08,8.997144719586611,A,0.03087
Electronics,0.1,0.0,5,True,Air,2408,Honeycomb Paper,1.04,0.602,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,88.41,0.62,5.46,18.57,0.1362637113070126,E,1.6e-05
Clothing,0.99,1.38,4,False,Road,685,Kraft Paper Mailer,1.35,0.473,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,86.26,7.97,7.37,31.48,1.2976931753469232,C,0.006912
Electronics,18.04,6.99,9,True,Road,981,Mushroom Pkg (Mycelium),9.02,8.849,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,60.06,79.49,14.45,3.72,6.6012452179069045,A,0.034928
Electronics,2.27,0.1,7,True,Air,1375,Honeycomb Paper,2.31,7.803,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,44.98,17.99,25.92,13.9,0.8328703382380269,D,0.000486
Electronics,0.13,0.0,4,True,Air,2654,Corrugated Cardboard,0.85,0.863,114.0,Woven Corrugated Cardboard,Paper,653,7.71,1.03,0.979,Yes,84.36,0.19,8.04,3.99,0.0283582054280839,E,0.0
Beauty,0.47,0.05,8,True,Air,1251,Styrofoam (EPS),1.79,1.47,105.0,Woven Styrofoam (EPS),Plastic,27,0.52,1.93,3.6,No,66.9,4.96,16.24,0.06,0.244334960324202,E,0.00025
Home Decor,1.51,1.35,9,False,Road,108,Mushroom Pkg (Mycelium),2.4,0.082,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,95.87,24.54,1.49,3.08,19.763745125003272,A,0.00675
Home Decor,1.57,1.16,9,False,Air,1967,Mushroom Pkg (Mycelium),2.43,7.72,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,48.64,25.22,18.58,3.08,1.6288481362299172,B,0.005824
Electronics,2.36,0.25,8,True,Air,1663,Mushroom Pkg (Mycelium),2.54,9.812,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,43.39,32.43,20.48,4.15,1.90019521971703,B,0.00124
Beauty,0.85,0.2,4,True,Air,944,PLA Bioplastic,1.14,2.006,575.0,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,64.41,13.85,20.26,39.92,0.8203355962322014,D,0.00098
Electronics,0.12,0.0,4,True,Air,1422,Mushroom Pkg (Mycelium),0.85,0.427,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,91.88,1.83,2.94,7.57,0.7469385214494826,D,0.0
Clothing,1.06,4.02,2,True,Road,765,Kraft Paper Mailer,2.01,1.538,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,80.33,7.78,10.55,52.56,0.8849288260730971,C,0.02009
Beauty,0.36,0.04,9,True,Air,1851,Mushroom Pkg (Mycelium),1.94,1.666,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,76.87,6.76,8.37,3.72,0.969175511448565,C,0.000225
Electronics,23.21,6.5,10,True,Road,2663,Mushroom Pkg (Mycelium),11.28,30.904,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,44.07,90.97,20.24,3.37,5.393477994393379,A,0.03248
Clothing,0.84,1.23,3,False,Road,255,Kraft Paper Mailer,1.09,0.157,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,89.56,6.48,5.6,39.39,1.3885711806122891,C,0.006156
Electronics,2.01,0.23,7,True,Road,151,Honeycomb Paper,2.2,0.152,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,85.22,16.68,6.96,13.9,2.875861655767004,B,0.00116
Electronics,2.07,0.22,8,True,Air,1000,Mushroom Pkg (Mycelium),2.43,5.175,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,56.17,29.67,15.86,4.15,2.244892670561623,B,0.00112
Clothing,0.21,0.21,2,False,Air,2971,Kraft Paper Mailer,0.48,1.56,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,76.49,1.17,12.61,52.56,0.1113401973560509,E,0.001026
Clothing,1.98,4.04,3,True,Air,2231,Kraft Paper Mailer,2.22,22.533,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,23.93,10.87,40.81,39.39,0.319627534436963,E,0.02021
Electronics,20.3,6.54,10,True,Road,2632,Mushroom Pkg (Mycelium),10.12,26.715,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,46.28,88.67,19.44,3.37,5.473456508567051,A,0.032704
Electronics,2.34,0.19,7,True,Road,432,Honeycomb Paper,2.34,0.505,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,82.0,18.32,8.48,13.9,2.592452524474938,B,0.000972
Electronics,20.75,8.18,9,True,Road,2146,Mushroom Pkg (Mycelium),10.1,22.265,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,48.64,81.68,18.58,3.72,5.275349554609821,A,0.040875
Electronics,1.66,0.23,9,True,Road,234,Mushroom Pkg (Mycelium),2.46,0.194,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,94.33,26.37,2.05,3.72,15.436090031175594,A,0.00114
Clothing,0.25,0.17,2,False,Air,2703,Kraft Paper Mailer,0.5,1.689,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,75.08,1.43,13.37,52.56,0.1283470360249038,E,0.000836
Furniture,58.74,299.97,6,False,Road,1423,Wood Crate,121.19,213.429,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,14.74,35.29,41.8,11.5,1.013110023609808,C,1.49984
Clothing,1.08,1.66,3,False,Air,2151,Kraft Paper Mailer,1.26,8.927,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,43.82,7.68,30.14,39.39,0.3057730489126393,E,0.00832
Electronics,0.24,0.02,9,True,Road,126,Mushroom Pkg (Mycelium),1.9,0.015,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,99.76,4.38,0.09,3.72,58.39935111832091,A,8.4e-05
Electronics,19.13,6.3,9,True,Road,1962,Mushroom Pkg (Mycelium),9.45,18.767,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,51.03,80.47,17.72,3.72,5.449435358384009,A,0.0315
Furniture,14.67,32.88,4,False,Road,1393,Wood Crate,13.95,22.901,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,47.98,22.15,25.5,16.15,1.042352900299886,C,0.164395
Beauty,0.91,0.21,3,True,Air,1430,PLA Bioplastic,0.96,3.253,575.0,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,58.3,13.17,23.73,49.94,0.6659923865995622,D,0.001064
Electronics,0.25,0.02,8,True,Air,1478,Recycled PET Box,1.7,0.924,320.0,Recycled PVC Film,Plastic,1279,39.86,1.59,1.476,No,81.01,1.92,20.0,14.07,0.0767999961600001,E,7.8e-05
Beauty,0.32,0.03,10,True,Air,868,Mushroom Pkg (Mycelium),2.13,0.694,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,87.38,6.01,4.57,3.37,1.5781178166044163,B,0.000144
Clothing,1.21,3.85,2,True,Air,2125,Kraft Paper Mailer,1.94,20.453,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,26.75,7.72,39.3,52.56,0.2357251848415983,E,0.01924
Furniture,11.43,33.87,5,False,Road,1420,Wood Crate,14.55,24.048,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,47.87,27.51,25.56,13.44,1.2915492452445525,C,0.169344
Electronics,0.14,0.0,6,True,Air,1343,Honeycomb Paper,1.26,0.47,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,89.9,1.13,4.76,15.9,0.2848738897323761,E,0.0
Beauty,0.23,0.05,8,True,Road,248,Mushroom Pkg (Mycelium),1.69,0.029,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,99.58,4.17,0.15,4.15,33.359777601482655,A,0.00025
Home Decor,2.77,1.12,10,False,Road,672,Mushroom Pkg (Mycelium),3.11,0.931,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,86.64,38.99,4.83,2.79,9.686954516158483,A,0.005616
Clothing,0.8,1.15,3,False,Air,905,Kraft Paper Mailer,1.06,2.602,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,65.46,6.2,18.53,39.39,0.4015110414726906,D,0.005742
Electronics,2.46,0.12,9,True,Air,1034,Mushroom Pkg (Mycelium),2.78,6.359,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,52.03,34.79,17.36,3.72,2.404838571149852,B,0.000588
Electronics,1.8,0.11,9,True,Air,2507,Recycled PET Box,2.52,11.282,320.0,Recycled PVC Film,Plastic,1279,39.86,1.59,1.476,No,36.65,13.55,66.73,12.65,0.1624456741728507,E,0.000558
Electronics,2.16,0.11,9,True,Road,286,Mushroom Pkg (Mycelium),2.66,0.309,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,92.3,31.87,2.79,3.72,13.707521968630118,A,0.000551
Clothing,1.43,4.26,4,True,Air,2997,Kraft Paper Mailer,2.5,31.918,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,16.92,13.74,44.57,31.48,0.3699349255118931,D,0.02132
Furniture,49.35,304.1,5,False,Road,1213,Wood Crate,122.64,184.437,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,17.07,29.35,40.66,13.44,0.8662075537086191,C,1.520475
Clothing,0.29,0.19,1,False,Air,1755,Kraft Paper Mailer,0.32,1.272,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,78.31,1.23,11.64,78.9,0.126804112817516,E,0.000966
Furniture,15.51,5.51,9,False,Road,179,Mushroom Pkg (Mycelium),8.0,1.388,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,74.7,77.04,9.15,3.08,10.103605453157876,A,0.02754
Home Decor,1.09,1.3,10,False,Road,564,Mushroom Pkg (Mycelium),2.52,0.367,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,93.6,22.3,2.32,2.79,11.534477786863023,A,0.00651
Beauty,0.21,0.04,9,True,Road,329,Mushroom Pkg (Mycelium),1.88,0.035,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,99.54,3.8,0.17,3.72,26.82337162722572,A,0.00018
Beauty,0.74,0.2,3,True,Air,1590,PLA Bioplastic,0.9,2.941,575.0,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,60.96,11.33,22.22,49.94,0.611881160581406,D,0.00098
Electronics,1.84,0.21,9,True,Road,148,Mushroom Pkg (Mycelium),2.54,0.136,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,94.6,28.36,1.95,3.72,17.452298742410903,A,0.001026
Beauty,0.47,0.03,10,True,Road,644,Mushroom Pkg (Mycelium),2.19,0.151,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,97.31,8.88,0.97,3.37,10.985555684994138,A,0.000144
Electronics,0.16,0.0,4,True,Air,2951,Corrugated Cardboard,0.86,1.18,114.0,Woven Corrugated Cardboard,Paper,653,7.71,1.03,0.979,Yes,80.56,0.38,9.99,3.99,0.0456456410765124,E,0.0
Electronics,0.13,0.0,4,True,Air,1041,Corrugated Cardboard,0.85,0.338,114.0,Woven Corrugated Cardboard,Paper,653,7.71,1.03,0.979,Yes,91.61,0.19,4.31,3.99,0.0529002197447286,E,0.0
Clothing,1.63,4.47,3,True,Air,2459,Bubble Wrap (LDPE),2.39,27.479,34.0,Standard Bubble Wrap (LDPE),Plastic,890,9.68,2.13,2.807,No,17.85,15.95,82.15,7.63,0.1553256219680386,E,0.02236
Electronics,0.18,0.0,4,True,Air,1737,Corrugated Cardboard,0.87,0.782,114.0,Woven Corrugated Cardboard,Paper,653,7.71,1.03,0.979,Yes,84.74,0.5,7.84,3.99,0.0765306024833415,E,2e-05
Furniture,75.43,249.63,8,False,Road,383,Wood Crate,101.45,47.804,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,33.46,46.99,32.62,8.92,1.7286326876568767,B,1.248154
Clothing,1.7,4.3,4,True,Road,557,Kraft Paper Mailer,2.52,1.198,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,79.0,13.76,11.27,31.48,1.4651285301571846,B,0.0215
